County;Population
Budapest;1752286
Bács-Kiskun megye;503825
Baranya megye;360704
Békés megye;334264
Borsod-Abaúj-Zemplén megye;642447
Csongrád-Csanád megye;399012
Fejér megye;417712
Győr-Moson-Sopron megye;467144
Hajdú-Bihar megye;527989
Heves megye;294609
Jász-Nagykun-Szolnok megye;370007
Komárom-Esztergom megye;299207
Nógrád megye;189304
Pest megye;1278874
Somogy megye;301429
Szabolcs-Szatmár-Bereg megye;552964
Tolna megye;217463
Vas megye;253551
Veszprém megye;341317
Zala megye;268648
